Subject,age,MO_TP,MO_MO,TP_TP,TP_MO
67week3,younger,0,0,0,0
67week9,older,1,3,0,1
68week1,younger,0,0,0,1.32
68week3,younger,0,0,1,1
68week6,older,1,5,7,5
68week9,older,0,0,0,1
69week1,younger,1,0,0,0
69week3,younger,0,0,0,0
69week6,older,2,2,4,0
69week9,older,0,0,0,0
6week6,older,0,0,2,0
70week1,younger,0,2,0,0
70week3,younger,2,0,0,0
70week6,older,0,0,0,1
70week9,older,0,4,0,0
71week1,younger,0,1,1,4
71week3,younger,3,3,0,9
71week6,older,1,1,2,0
71week9,older,4,4,3,3
72week1,younger,0,1,0,0
72week6,older,1,2,0,3
72week9,older,0,1,2,0
73week1,younger,1,0,2,0
73week3,younger,0,0,2,0
73week6,older,0,4,0,0
73week9,older,1,0,0,1
74week1,younger,1,0,0,0
74week3,younger,3,0,1,0
74week6,older,1,0,0,10
74week9,older,0,3,1,8
75week1,younger,0,0,0,0
75week3,younger,0,0,0,2
75week6,older,0,0,2,0
75week9,older,0,0,0,0
76week1,younger,0,0,0,0
76week3,younger,0,0,4,0
76week6,older,0,0,4,1
76week9,older,2,0,4,12
77week3,younger,3,0,0,0
77week6,older,0,0,3,0
77week9,older,0,0,0,0
78week3,younger,0,0,1,0
78week9,older,0,1,1,1
79week3,younger,0,1,0,0
79week6,older,0,0,0,2
79week9,older,0,0,0,0
7week3,younger,1,0,0,0
7week9,older,2,5,0,0
80week1,younger,0,0,1,0
80week3,younger,0,0,2,6
81week1,younger,3,1,1,0
81week3,younger,1,0,0,0
81week6,older,8,0,0,0
82week3,younger,2,0,4,2
82week9,older,0,0,1,1
83week6,older,0,0,0,0
83week9,older,0,2,0,0
84week3,younger,1,0,0,0
84week6,older,0,0,0,0
84week9,older,0,0,0,2
85week1,younger,0,0,0,0
85week3,younger,0,1,1,0
85week6,older,0,1,0,0
85week9,older,1,0,0,1
86week1,younger,0,0,0,0
86week3,younger,0,0,2,4
86week6,older,0,0,5,1
86week9,older,0,0,0,0
87week1,younger,0,1,7,0
87week6,older,0,1,6,3
87week9,older,0,0,5,0
88week1,younger,0,0,5,3
88week3,younger,2,0,1,8
88week6,older,1,2,1,2
88week9,older,0,0,1,0
89week1,younger,1,0,0,0
89week3,younger,0,1,0,0
89week6,older,0,0,1,0
89week9,older,0,1,0,0
8week1,younger,3,1,2,2
8week3,younger,0,2,7,4
8week9,older,1,0,5,5
90week1,younger,3,4,4,5
90week9,older,6,0,6,1
91week1,younger,0,0,0,0
91week3,younger,6,0,0,0
91week6,older,0,0,10,2
91week9,older,0,0,0,0
92week1,younger,1,0,0,0
92week3,younger,0,0,0,4
92week6,older,1,0,0,0
92week9,older,0,1,1,2
93week3,younger,1,3,0,2
93week6,older,0,0,1,4
94week1,younger,0,0,1,0
94week3,younger,1,0,0,0
94week6,older,0,0,0,0
95week1,younger,1,0,1,0
95week3,younger,0,0,1,1
95week6,older,1,1,0,0
95week9,older,2,4,0,1
96week1,younger,0,0,0,0
96week3,younger,1,0,3,0
96week6,older,0,0,0,0
96week9,older,2,0,0,0
97week1,younger,0,1,0,0
97week3,younger,1,0,0,0
97week6,older,0,0,3,0
97week9,older,0,0,1,7
98week1,younger,0,0,0,0
98week3,younger,0,0,0,0
98week6,older,0,0,7,4
98week9,older,0,0,3,0
99week3,younger,1,0,0,0
99week6,older,0,0,1,8
99week9,older,1,1,12,5
9week6,older,1,0,0,0
9week9,older,1,2,0,2
